Tweet_Text,Estimated_Intent,Human_Intent
"We'll have to wait for an announcement, but presumably the $m3m3 platform will sunset.

Should we wait for $ben3ben3? Participants wanted a cto, but @weremeow  hasn't made things clear. holders want a $MET.

We've seen abandoned tokens like $WEN, $DED, etc. on jupiverse, is this the same outcome? Further disappointment won't help anyone.",negative,negative
"Hey #TON Community 
Am currently hanging out with beautiful people on @metyacom TG app. https://t.co/xF3Dk5j8Ak",neutral,neutral
"Start the weekend right with 567K USDT in rewards from our campaigns with @Alaya_AI, @Zypher_Network, @GoldenGoose_app, @Bedrock_DeFi &amp; @metyacom
  
Check them out:
ğŸ“± Discover &gt; Cryptoverse &gt; Giveaway
ğŸ’» https://t.co/kymx2YAEyC https://t.co/VjD6QSekdp",neutral,neutral
"Gm &amp; Happy Weekend Fam! ğŸ’›

@metyacom has recently revealed a partnership with @RealBalanceFun, aiming to integrate AI-driven technology into Web3 dating, introducing new possibilities for enhanced matchmaking and user experience. 

Read moreâ¤µï¸

#Metyacom #Balance #AIAgent $MET https://t.co/wu60FTpDkR",positive,neutral
"Hey #TON fam! @metyacom is breaking language barriers and connecting people worldwide. No matter where youâ€™re from, communication is seamless on Metya. ğŸŒğŸ’¬ğŸš€â€ https://t.co/cM8ILZFHp7",positive,positive
"Metyacom Partners with Balance: Revolutionizing Social Interactions.

@Metyacom has partnered with Balance @RealBalanceFun, a topnotch AI agent platform designed to enhance your socialFi experience and web 3 interactions.

What This Partnership Means for You â¤µï¸ https://t.co/Ls80pgNahI",neutral,neutral
Thank you for the payment. I have not been able to win the raffle for a long time. Thank you very much to the sponsors and providers. @DrPanteo @metyacom @PanteoClaim #DrPanteoPaid ğŸ«¡ğŸ¥° https://t.co/b7iGFYEd2t,positive,positive
"ğŸ§©EXCLUSIVE GIVEAWAY ALERT!

@metyacom and @wallet are teaming up to give away 52,000 USDT in MET!

Event Dates: Feb 14 - Mar 14, 2025

To participate:

â‡ï¸Complete tasks on Galxe
â‡ï¸Stand a chance to win a share of 52,000 USDT in MET!

Join now and grab your share of $52,000 in MET! https://t.co/8knskwVZEj

Don't miss out!",neutral,neutral
"Reward yourself this weekend with 342K USDT worth of prizes in week's campaigns with @Astra__Nova, @TrustaLabs, @Bedrock_DeFi, @metyacom &amp; @FolksFinance!

Check them out:
ğŸ“± Discover &gt; Cryptoverse &gt; Giveaway
ğŸ’» https://t.co/kymx2YAEyC https://t.co/tC7eR5wxw8",neutral,neutral
"ğŸ® #TelgatherGamers, weâ€™re back with another exciting #AMA !!! ğŸ‰

ğŸ“Œ Topic: Web3 Usability: A Barrier to Adoption or Just a Matter of Time?

ğŸ™ï¸ Guests: @metyacom , @4metas , @LuluchainGlobal 

ğŸ—“ï¸ Date: 20/02/25

â° Time: 12 PM UTC

ğŸ“… Set your reminder : https://t.co/8jKN9Q6ugx

You donâ€™t want to miss this! ğŸ”¥ğŸš€",positive,positive
"RECENT ALTCOIN NEWS &amp; EVENTS

Presenting the most interesting and important #crypto market events that recently took place.

$HYPE $USDT $JUP $MET $OKB $BNB #DEX #L1 $USDC $LIBRA https://t.co/Zr781VeuIs",neutral,neutral
"GMgm TopFam,

Last week, @metyacom participated in the Telegram Growth Hub at the Consensus UK conference, held in Hong Kong.

This event brought together entrepreneurs, and industry leaders to explore the future of technology and blockchain.

What does this mean for Metya? ğŸ§µâ¤µï¸ https://t.co/XnI9IEhNJB",neutral,neutral
"Love, Crypto, and a Whole Lot of METYA! ğŸ’š

Valentineâ€™s Day isnâ€™t just about romance,

itâ€™s about appreciating the things that bring value to our lives. And letâ€™s be realâ€¦ 

whatâ€™s better than love + passive income? ğŸ˜

With @metyacom , youâ€™re not just holding tokens, youâ€™re staking, earning, and securing your future. Now thatâ€™s a relationship worth celebrating! ğŸš€

Tag someone youâ€™d stake with this Valentineâ€™s Day! ğŸ’˜ğŸ’š $TON of love from METYA!",positive,positive
"ğŸ‰ Metyaê°€ Web3 ì´ë²¤íŠ¸ì—ì„œ ë¹›ì„ ë°œí–ˆìŠµë‹ˆë‹¤!

ìš°ë¦¬ì˜ ê·€ì—¬ìš´ ë§ˆìŠ¤ì½”íŠ¸ëŠ” ì´ë²¤íŠ¸ ë‚´ë‚´ ë¹›ë‚˜ë©° í•˜ì´ë¼ì´íŠ¸ê°€ ë˜ì—ˆìŠµë‹ˆë‹¤!

í˜„ì¥ ì»¤ë®¤ë‹ˆì¼€ì´ì…˜ ì„¸ì…˜ì€ ì •ë§ ì¦ê±°ì› ê³ , ìš°ë¦¬ ë¶€ìŠ¤ë¥¼ ë°©ë¬¸í•´ ì£¼ì‹  ëª¨ë“  ë¶„ë“¤ê»˜ ê°ì‚¬ë“œë¦¬ê³  ì‹¶ìŠµë‹ˆë‹¤!

#Metya #Web3 #ë¸”ë¡ì²´ì¸ #SocialFi #í˜ì‹ ì ì†Œì…œ https://t.co/TOmSjB1mVt",positive,positive
"Strat Weekly Setups

1 - $AMD $AMGN $ARM $AVGO $BAC $BSX $CLSK $DLTR $ENPH $GS $IWM $JETS $LLY $M $MA $MCK $MET $MPC $MS $MSTR $NKE $PEP $PINS $QCOM $RBLX $RIOT $TJX $UNH $URA $WFC $X $XLF $XPEV

3u - $ADI $CAR $CPB $CVS $DBX $DE $DXCM $ETSY $GILD $MU $RKT $SONY $TXN $W $WYNN $ZM",neutral,neutral
"Congratulations @metyacom for hitting 800k followers on X.

#TON of love famğŸ’ https://t.co/UHHJUTeBnj",positive,positive
"To all the yieldooors fretting about the â€œdeath of @MeteoraAGâ€, youâ€™re overlooking the potential of the $Met drop as the one way to â€œmake amendsâ€.

Remember the golden crypto rule: â€œRich degens always forgive.â€

With that in mind, we will be distributing 100% of our treasuryâ€™s $Met drop to our stakooors (over $100k fees earned thus far btw ğŸ‘€)

Also looking to distribute tokens from the #Solana projects we love and believe in long term: @rhuncapital, @SYMBaiEX, & @novaonmars. Weâ€¦ahemâ€¦have a lot of their tokens ğŸ˜¬

Much love to honest buildooors  ğŸ¤œğŸ¤›",positive,neutral
"Metya is not just another dating app, itâ€™s a SocialFi revolution where engagement = earnings.

ğŸ‘¥ 8.5M+ users
ğŸ’° Earn $MET for being active
ğŸ” Full control of your data

This is how Web3 should be. Are you in?

Don't miss the train!!

#Metya #SocialFi #AIFuture https://t.co/iQXvjCTOVc",positive,positive
"ğŸŒŒ Metyaë¶€í„° ì‹œì‘í•˜ì—¬ ë¬´í•œí•œ ê°€ëŠ¥ì„±ì„ íƒí—˜í•´ë³´ì„¸ìš”! 

ì´ ì†Œì…œ í”Œë«í¼ì—ì„œ í•¨ê»˜ ìš°ë¦¬ë§Œì˜ ëª¨í—˜ì„ ì‹œì‘í•´ ë³´ì„¸ìš”. ë§ˆìŒì„ ì—°ê²°í•˜ê³  ê¿ˆì„ ê³µìœ í•˜ì„¸ìš”!

#Metya #AI #WEB3 https://t.co/Ug9LQAhXQS",positive,positive
"Our AI agent is ready to contribute to Decentrilazed Science. Its main goal is to enhance understanding of basic science and its core principles. Additionally, it will offer insights into #DeSci and Longevity.

It will be available soon!
$Met",positive,positive
"It's the season of Love, and what's Love if I don't share this with you my fren.ğŸ˜ŠğŸ˜‰

Bringing to you the first On-Chain Valentine alpha  with @metyacom  &amp; OKX @wallet teaming up to share 52,000 USDT in $MET.

ğŸ“… Event Period:
Feb 14, 2025 (05:20 UTC) - Mar 14, 2025 (05:20 UTC)ğŸ https://t.co/UXGYWxFzTG",positive,positive
"ì‹œì¥ì´ ì•ˆ ì¢‹ì„ ë•Œë§ˆë‹¤ ì€ì—°ì¤‘ì— ëŠë¼ë˜ ì•…ì¬ê°€ ë‚˜ì˜¤ê¸° ì‹œì‘í•¨â€¦.
$libra $sol $met https://t.co/p4dn0NMn8v",negative,negative
"ğŸŒŸ $METë¥¼ íˆ¬ìí•˜ê³  ìƒˆë¡œìš´ ë¶€ì˜ ì¥ì„ ì‹œì‘í•˜ì„¸ìš”! ğŸ’°

Metyaì—ì„œëŠ” ëª¨ë“  íˆ¬ìì— ëŒ€í•´ í›„í•œ ë³´ìƒì„ ì œê³µí•©ë‹ˆë‹¤. ì—¬ëŸ¬ë¶„ì´ ë” ë§ì´ ë² íŒ…í• ìˆ˜ë¡ ë” ë§ì€ ìˆ˜ìµì„ ì–»ì„ ìˆ˜ ìˆê³ , ì—¬ëŸ¬ë¶„ì˜ ì† ì•ˆì—ì„œ ë” ë§ì€ ê¸°íšŒê°€ ê½ƒí”¼ìš¸ ìˆ˜ ìˆìŠµë‹ˆë‹¤! ğŸš€

#Metya #Stake #Met https://t.co/W0GBmM6sba",positive,positive
"FUD Fuels the Top Gainers on Kaitoâ€™s Pre-TGE Board 

Interesting dynamics on the Kaito board today: 

Meteora ( $MET ) and OpenSea ( $SEA ) are leading the top gainers, but not for the usual reasons. 

Both projects have been at the center of controversy, and the increased discussion (positive or negative) is driving them up the board.

Meanwhile, $KAITO still dominates, fueled by:

âœ… Yaps & Genesis NFT snapshots just taken
âœ… $KAITO launch coming sooner than expected
âœ… Growing interest in Kaitoâ€™s role in CT

The takeaway? 

Attention = mindshare = momentum

Even if it comes from FUD, it still moves markets",neutral,neutral
"Last week, @metyacom official Twitter reached 800K followers!

Last week, @metyacom COO attended WAVE2025 and discussed the innovative integration of AI and SocialFi at the roundtable.

Last week, at the @Telegram Growth Hub DemoDay, Metya COO Christy delivered a keynote speech on Metya's upgrades within the @ton_blockchain  ecosystem and the AI + SocialFi strategy.

Last week, Metya joined top founders and builders at the VC Horizoâ€‹â€‹n-Investors gathering to explore the future of AI, Memes, and Web3.

Last week, Metyaâ€™s partnership with OKX Wallet for a 52,000 USDT airdrop is still going strong, and it has already attracted nearly 30,000 participants!

This Monday is METYA Review Day! Based on last weekâ€™s major @metyacom tweet events, create a post recommending your Twitter friends to earn while dating & already backed by global leading VCs like OKX Ventures, TOP, and 12 others, leading the SocialFi revolution. 300 words with an image. Topics: #METYA #SocialFi #Tinder #TON",positive,positive
"ğŸ ğ—¬ğ—¼ğ˜‚ ğ˜€ğ˜ğ—¶ğ—¹ğ—¹ ğ—³ğ—®ğ—±ğ—¶ğ—»ğ—´ @metyacom ğŸ

LIMITED TIME OFFER!  @metyacom & OKX @wallet are joining forces to reward users with 52,000 USDT in $MET!ğŸ’¸

ğŸ‰ğŸš¦EVENT ALERT ğŸ‰ğŸš¦
Feb 14,2025(5:20 UTC) - Mar 14,2025(5:20 UTC)

ğŸ‘‰Easy participation:
Complete the tasks and blast off to 52,000 USDT worth of $MET rewards ğŸ¤‘ğŸ¤‘

Transform your Life in a flash within 20 days!!!

ğŸ’« Complete tasks: https://t.co/ilOjsG3MZP

Don't miss out!!!

âœŒï¸ Good Luck ğŸ¤",neutral,positive
"$PROMPT &amp; $MET still the best airdrops to come this year 

Sorry yappers",neutral,positive
"https://t.co/CobMbIR1vn has now partnered with @metyacom to bring AI-powered connections to the Web3 dating scene!

With Metyaâ€™s innovative platform and #BALANCE #AIAgents, expect smarter matchmaking, enhanced privacy, and a whole new way to interact. https://t.co/JYGVnjjRDq",positive,positive
"Congratulations to @metyacom as they hit 800k followers on X amidst other achievements!

They also partnered with @RealBalanceFun !

This partnership will integrate AI into Web3 dating. This aims to refine matchmaking and user experience within the decentralized space. 

AI-driven technology will enhance connections, prioritize privacy, and offer secure, efficient online interactions. By merging AI with blockchain, the collaboration seeks to transform digital matchmaking. 

This development signals a potential shift in how relationships form within Web3.

Bullish on $MET",positive,positive
"They didnâ€™t drop $MET because they were too busy max extracting

Canâ€™t believe what Iâ€™m seeing tbh

Full thoughts coming soon https://t.co/FLW0RAE3Jo",negative,negative
"What a bullish morning ğŸ¤—.

Waking up to see @metyacom hitting amazing 800,000 followers on X 

Thanks for the support guys and letâ€™s keep supporting. Metya is bringing a lot to the community soon.

Donâ€™t forget to make your $MET work for you. 

GM Legends https://t.co/UJyCCNXDe4",positive,positive
"Do you know about METYA ? 

A dating platform but a web3 social platform within METYA social network (MSN) that blend social media with decentralized finance. 

More updates coming about @metyacom https://t.co/lA7e76O3zU",neutral,netural
"Congratulations on your New Partnership.

https://t.co/GFSyDfWRel just partner with @metyacom to bring AI-powered innovation to Web3 dating.

Anticipating and looking forward to the great collaboration to improve privacy and features and potential matchmaking. 

#Metya #Balance https://t.co/4dNsTHLLp1",positive,positive
"Every token launch now is a scam. 

Volume has dried up.

How are @MeteoraAG DLMMers generating fees and increasing their $Met points?",negative,negative
"Do you guys still using DLMM ?
$MET",question,neutral
"At this point I have lost all expectations for a reasonable @MeteoraAG airdrop. Unless something changes at the top.

@MeteoraAG launched their point system and confirmed the $MET token on December 28 2023. That is more than a year ago, with no expected TGE in sight. People initially speculated on Q3 2024, then were quite confident that it should happen in Q4 2024. However, @hellochow pretty much confirmed in a space back in December 2024 that the token won't be launching anytime soon. 

Instead, @MeteoraAG launched the @WEAREM3M3_ platform instead, which was a botched launch, fully sniped and had lots of FUD. It was also weird that they decided to create a platform like this so late into the meme season and also with the 3,3 concept, which historically has always ultimately led to failure (eg. Olympus DAO and Friendtech)

Why did they not just focus solely on their main product, which IMO is really one of the best in the entire space right now (not just SOL)? Also what were in their plans when they announced the stimulus plan over a year ago?

Why did they not fairly launch the $M3M3 token, what role did they truly play in the $TRUMP, $MELANIA and $LIBRA launches?

Their reputation is looking horrible right now that's for sure.",negative,negative
"You miss 100% of the shots you don't 

take, start NOW ğŸ“Œ. 

â GM WEB3 âŒ

â£ Take your @metyacom with you 

everywhere and keep staking ğŸ¤¯ğŸ’šğŸ“Œ.",positive,positive
"Looks like only $MET can salvage @hellochow and @MeteoraAG reputations

Do a sick airdrop by giving back to the community and end the day as heroes",positive,positive
"GET READY TO REVOLUTIONIZE WEB3 DATING!!!!ğŸ”¥

Massive newsğŸ¥³

Few days ago,  @metyacom teamed up with @RealBalanceFun to UNLEASH THE POWER OF AI-DRIVEN MATCHMAKING!ğŸ”¥

Imagine a world where connections are meaningful, secure, and efficient! Metya's innovative tech combines AI capabilities with blockchain magic to transform the Web3 dating landscape.

No more endless swiping, no more shallow connections! With Metya, you'll experience:

> More accurate matches
> Enhanced user experiences
> Unparalleled security and privacy

Don't miss out on this exciting momentğŸ¤©

Follow @metyacom on X for the latest updates, and join the official Telegram community  https://t.co/azl8voooRD  to be part of the revolution",positive,positive
"Here is our agent
@metai_agent 
We will be upgrade it constantly for a better performance.
Please give feedback on it!
$Met
For now it is all about science,longevity and metformin",neutral,neutral
"Drop alpha!!!
Drop alpha!!!

Oya, I don drop amğŸ«´

DON'T PASSBY, CHECK THIS OUT!!!

A post compilation of projects you should check out.
â†” @TONBattleground
â†” @impaktofficial
â†” @metyacom 

Open ğŸ§µğŸ§µğŸ§µ https://t.co/GI7dkEBlKm",neutral,neutral
"You are afraid to buy $LIBRA for 1-2 b, I can understand you, but you do not open a pool for @MeteoraAG  I do not understand this  ğŸ«¢

$MET will change your life! âœŠ $SOL$ https://t.co/XW6dZeY2VP",neutral,positive
"Missed Valentineâ€™s Day? No worries! @metyacom &amp; @OKXWallet are still spreading the loveâ€”with 52,000 USDT worth of $MET rewards! ğŸš€ğŸ’°

ğŸŒ The First On-Chain Valentineâ€™s Day!
ğŸ—“ Event Period: Feb 14 - Mar 14, 2025
ğŸ How to Participate? Complete simple tasks &amp; secure your share! https://t.co/JlmLNmcYbP",neutral,positive
"ğŸ’– With @metyacom, Love Never Retreats! ğŸ’–

In Web3 and in life, real love doesnâ€™t fade, crash, or pull back, it grows, thrives, and rewards. Thatâ€™s exactly what @metyacom is all about! ğŸš€â¤ï¸  

While others let love end on February 14, Metya keeps the rewards flowing! ğŸ’°ğŸ”¥ https://t.co/zx8BjKTnqR",positive,positive
"Quality undervalued stocks like $ICLR, $BRFS, $SPNT, $OSK, $CM, $AGRO, $MET and $HG showing up in our Fundamental Piotroski F-score screen.

https://t.co/om6W4f9052 https://t.co/DtGt9SgePO",neutral,neutral
"ğŸš¨Do YOU KNOW

@metyacom and @okx are teaming up for a special Valentine's event. 

To participate : 

âŸ Open your OKX Wallet, go to the
Discover tab at the bottom right, and click on Crypto verse to enter the event page.

Or use the link : https://t.co/MnKTL6Bkq1

âŸ On the event page, find the Giveaway section , the romantic Metya Valentine's Day special event is the second one on the list . 

âŸ Complete simple tasks, and stand a chance to win a share of 52,000 USDT worth of $MET rewardsğŸŠ

Duration : Feb 14, 2025 (05:20
UTC) - Mar 14, 2025 (05:20 UTC) to participate. 

Don't miss out on the love and rewards. 

Donâ€™t FadeğŸ“Œ.",neutral,positive
"cant wait for the next round of airdrops:

$MET from @MeteoraAG hope it will be this year (hoping Q3 Q4)

$ABS from @AbstractChain it will definitely be this year not much going on in but @LucaNetz is a goat 

$KAITO definitely the best and underfarmed",neutral,positive
"Want to earn extra cash without having to break the bank? 

Join @metyacom's community and get rewarded with $MET Tokens for participating!

Join the Metya community today and start earning! It's easy, fun, and rewarding. Don't miss out! https://t.co/4l52H7sE4l",positive,positive
"Daily Recap #3ğŸ‘‡ğŸ‘‡

1âƒ£ LP'd into a DLMM pool on @MeteoraAG . $MET 
2âƒ£ Made swaps on Jupiter again. Jupuary never ends
3âƒ£ Replied to @hubdotxyz latest tweet. Got 240 $IQ
4âƒ£ Swaps on Rabby wallet. They could airdrop 
5âƒ£ Bridged to @kamigotchiworld on @initia. Started exploring that game a little bit
6âƒ£ Completed Part 2 of @SentientAGI Dobby

Little bit of a thin day",neutral,neutral
"Soooo, are we still getting that $MET airdrop in 2025 or what? ğŸ˜…",question,question
"As a long time @MeteoraAG power usooor (the product is amazing), Iâ€™m sorry to see the ongoing drama.

But there is a silver lining: 

they can regain control of public opinion with one simple drop.

Viva la $met.",positive,neutral
"if only $MET had launched, futarchy could decide to keep @hellochow in position or not",neutral,neutral
"Top mindshare gainers vs losers today, 18-Feb.

ğŸ“ˆ Gainers:
 $ETH
 $SOL
 $USDT
 $FTT
 #MELANIA
 #FABLEBORNE
 $DOGE
 $UNI
 $MET
 $OP

ğŸ“‰ Losers:
 $KAITO
 $AIXBT
 $HYPE
 #OPENSEA
 $DOT
 $AVAX
 $QUAI
 $IP
 #MEGAETH
 $BLUR

Keeping up with trends helps you stay ahead.ğŸ‘ https://t.co/CCjL9sIqbf",positive,neutral
"ğŸš¨ GIVEAWAY!!!

@metyacom  & OKX @wallet  Team Up to Share 52,000 USDT in MET!

Event Period:
Feb 14, 2025 (05:20 UTC) - Mar 14, 2025 (05:20 UTC)

How to Participate:
Complete the tasks and stand a chance to win a share of 52,000 USDT worth of $MET rewards!

https://t.co/fW7Lp670IWâ€¦

Join and get your share of $52,000 in $MET ğŸ¥³ğŸ¥³ğŸ¥³

 Donâ€™t miss out!!!",neutral,neutral
"ğŸš¨ MetYa x OKX Wallet: On-Chain Valentineâ€™s Day Giveaway! ğŸš¨

ğŸ’° 52,000 USDT worth of $MET up for grabs!

ğŸ“… Event Period:
ğŸ—“ Feb 14, 2025 (05:20 UTC) - Mar 14, 2025 (05:20 UTC)

ğŸ How to Participate:
âœ… Complete the tasks
âœ… Stand a chance to win your share of 52,000 USDT in $MET!

ğŸ”— Join now and start earning!

#MetYa #OKXWallet #CryptoGiveaway #OnChainValentine",neutral,neutral
"52,000 USDT MEGA GIVEAWAY!

@metyacom & @wallet are bringing you an exclusive chance to win BIG! Ready to claim your share? ğŸ”¥

ğŸ“… Event: Feb 14 - Mar 14, 2025
âœ… Complete simple tasks on Galxe
ğŸ’¸ Win from a massive 52,000 USDT in MET!

Donâ€™t let this slip awayâ€”secure your spot NOW! ğŸ‘‡
ğŸ”— https://t.co/tylgtuIDN1",neutral,neutral
"The amount of support in $SOL is amazing. Every major platform comes to support $JUP and $MET. organizations. That's why this chain is great. It's people, utility and community.",positive,positive
"Don't fade @metyacom ooooğŸ«´

Gm ğŸ¤­ https://t.co/RLuEmujtIi",neutral,neutral
Bro drop the $met token we took a massive hit / share some of liquidity with your biggest LPs and traders,negative,neutral
"At minimum, will anybody trust a launch on Meteora going forward?  

How much is lost from a potential $met launch? 

How many other connections are going to unravel?",negative,negative
"Hey #TON fam 
Only on @metyacom were i healed my pain with freeky freekies. https://t.co/dxZ7rM51Ir",positive,positive
"Everyone went to check the @KaitoAI Top 20 Pre-TGE Leaderboard and the first thing they saw was $MET sitting on number 2 and being only 6% behind KAITO, and everyone is asking the question: 

WHAT IS $MET AND WHY IS IT TRENDING? https://t.co/5GCjQPs690",question,question
"$MET  $M3M3

Wouldn't it have been great if they had released it when $Trump came out?

(Owner risk + massive point dilution) https://t.co/lbOToOybSs",negative,negative
This is something I was wondering about as wellâ€¦ early December @hellochow and @MeteoraAG stated that there would be a call and discussion on $MET and we saw image below. Then all of the sudden there was a pivot and M3M3 and the #M3M3 token launched. Hmm ğŸ¤”,negative,negative
"#Meteora airdrop around the corner, everyone distracted by #crimeseason and forgetting to just farm points by providing liquidity. 

$JUP recently bottomed against $SOL, you can farm both $KMNO and $MET by providing liquidity in the JUP/SOL Meteora vault at https://t.co/MnJoP870c7 and land an airdrop on both projects. 

With token buybacks coming, this will likely be a profitable way to farm.",neutral,positive
"Oh itâ€™s about to get good. I just wish they had dropped $met before this sentiment.

Maybe we get a pt2 to the situation on Voidzilla? https://t.co/RjoKYXgWPX",neutral,
"I farm on Meteora every day, so itâ€™s disappoint
Why Jupiter and Meteora arenâ€™t stricter on insider? Theyâ€™re some of the biggest Dapps on SOL, so they need to step up.

Also, increase the $MET airdrop from 10% to 20%ğŸ’¥",negative,negative
"The @MeteoraAG roadmap in action:

- Attract users with the promise of a $MET airdrop

- Launch new tokens, get users to add liquidity to earn $MET pointsâ€”only to have sniper bots dump on them

- Repeat daily and do weekly celebrity drops",negative,neutral
"Hey #TON fam

Only on @metyacom telegram mini app you can connect, earn and withdraw.

Join now: https://t.co/CT83bmjF2q https://t.co/wuLFlc48z1",neutral,positive
"Been farming @MeteoraAG for a while, is $MET still coming or rugged? ğŸ˜­ https://t.co/KdpaCXKy37",negative,negative
"Top mindshare gainers vs losers today 18-Feb.

ğŸ“ˆ Gainers:
 $ETH
 $SOL
 $USDT
 $FTT
 $MELANIA
 $FABLEBORNE
 $DOGE
 $UNI
 $MET
 $OP

ğŸ“‰ Losers:
 $KAITO
 $AIXBT
 $HYPE
 $OPENSEA
 $DOT
 $AVAX
 $QUAI
 $IP
 $MEGAETH
 $BLUR https://t.co/teengDFdFF",neutral,neutral
"can you guys stop fudding @MeteoraAG, not until $met airdrop",negative,positive
"How many scandals has @weremeow been apart of now?

1. Abandoning meteora and $MET.
1. Using his own launchpad to launch $JUP, pocketing $65M. 
2. Being openly (wtf?) racist.
3. Affiliation with one of the largest scams in crypto history.

Terrible dude.",negative,negative
"By the way, no one has ever killed themselves because of a farm @MeteoraAG  because they know that there was no airdrop yet $MET https://t.co/OUHtZXuAKo",negative,positive
"so the bybit hack by lazarus group put this uptrend into a pickle.

with things dipping, I think it's a great time to believe in something. $JUP & $MET (future)

i cover the FUD on @JupiterExchange, @MeteoraAG , affecting @hellochow, @weremeow & @kashdhanda 

& why this is likely your best entry",positive,positive
"Opensea killing $SEA
Meteora killing $MET
KOLs trying to shit on $KAITO

I hate it here",negative,negative
"ì˜¨ì²´ì¸ ë³´ì•ˆì€ MetyağŸ”ì˜ í•µì‹¬ í‚¤ì…ë‹ˆë‹¤.

#WBE3 #Metya #MET #AI #safety #stake https://t.co/2iZr4fnZon",neutral,positive
"ìƒˆë¡œìš´ #iPhone16eì— $METë¥¼ íˆ¬ìí•  ì¤€ë¹„ê°€ ë˜ì…¨ë‚˜ìš”! ğŸš€

#Staking #Metya #SocialFi #AppleLaunch https://t.co/Y8XVHYbpHN",positive,positive
"I earned an additional 3 yaps after @KaitoAI took snapshot and it hurts.

I won't stop yapping about projects I believe in!

$MOVE $QUAI $MET @tradeparadex 

It's not over yet https://t.co/F7fx84fjqw",negative,positive
".@MeteoraAG team probably farmed north of 9 figures just last month on $TRUMP, $MELANIA and $LIBRA launches. best form of damage control they can employ rn is airdropping 33% of $MET to LPs and $M3M3 stakers, not shitting out long ass corporate lingo essays on X dot com",negative,negative
so what are you thoughts about the @MeteoraAG $MET airdrop,question,question
So I guess we ainâ€™t getting this $MET Meteora coin soon innitâ€¦,negative,negative
"Join @metyacom #METYA Space happening now!
Web3 Usability: A Barrier to Adoption or Just a Matter of Time?
https://t.co/Plpm2QcHdK",neutral,positive
"Meteora farmers rn

Yeah I know this is all extremely shocking, but, am I still getting my $MET airdrop? or was this all for nothing?",negative,question
